prediction;gold;sentence
positive;positive;jimi ist einfach spitze!im ersten teil war er gut, im zweiten war er besser und im drittten am besten!die wilden kerle sind ã¼berhaupt einfach coooooooooooooooooool!!!!!!!!!!!!!!!!!!!!!!
negative;negative;wa will er un damit sagen und zeigen?
negative;positive;ein einzelschicksal zwar, aber stellvertretend und symboltrã¤chtig fã¼r viele andere.
negative;negative;die gangsterkomã¶die ist wirklich nichts besonderes.
positive;negative;also leute, bitte mit vorsicht genieãÿen.
negative;positive;"im ewigen vergleich zwischen ""goodfellas"" und ""casino"" beziehe ich stellung fã¼r den vorgã¤nger, wa mir auch beim erneuten schauen von ""casino"" aufgefallen ist."
positive;positive;der beschreibung sieht da nach viel aus.
negative;positive;"tarantino ist unser mann;fãœr richtig abgedrehte filme;die gegen jeden strom schwimmen!"
negative;positive;robert downey jr.
negative;negative;da einzige, wa entschã¤digen kann, sind eventuell die szenen, in denen dastan in der zeit springt oder die guten panoramabilder.
negative;positive;10 punkte von mir!!
positive;positive;der film langweilt einfach nicht.
negative;positive;endlich wird nichts mehr zurã¼ckgehalten.
negative;positive;die kameraarbeit weiãÿ zu gefallen, bietet aber - da ist wohl dem geringen budget geschuldet - kaum ein herausragendes bild.
positive;positive;habe den film sehr gut gefunden.
negative;positive;menschlich, romantisch, realistisch und traumhaft, wa mimiken und gestik angeht.
negative;positive;kylo dagegen ist wie anakin skywalker, der gerne mal ausflippt und nach wie vor angst verpã¼rt.
positive;negative;fã¼r mich ist der film einfach nur eine lose, unspektakulã¤re handlung mit unmassen blut, da wohl da einzige ist wa den zuschauer anziehen soll.
negative;positive;"eine westernkomã¶die fã¼r freunde der ziemlich schrã¤gen humors; 60s-spaghettiwestern meet 90ssplattermovie meet 70s-exploitation."
negative;negative;aber auch hier verspielt bay seine karten.
positive;positive;die rolle de autors wird herausragend von sir michael caine verkã¶rpert.
negative;positive;anfangs beginnt wie bei den meisten thrillern zwar alles harmlos aber auf dem hã¶hepunkt wird e richtig actionreich.
negative;negative;bei manchen einstellungen bin ich beinahe eingeschlafen und dass, obwohl ich normalerweise wirklich kein kinoschlã¤fer bin.
positive;negative;er ist technisch gut, die effekte sind sehenswert, die schauspieler eine klasse ã¼ber dem drehbuch.
positive;positive;teil etwas schwach)aber an den 4.
negative;positive;ein absolute sci-fi-meisterwerk.
negative;negative;warum ist kylo ren eine witzfigur?
negative;positive;"so herrlich fies war schon lange keiner mehr, und sein charakter und seine aufmachung sowie seine motivation ã¤hneln auffã¤llig der de prinzen nuada au ""hellboy 2 - die goldene armee""."
positive;positive;fiel mir zwar anfangs schwer, mich in den film reinzudenken, da er lange vor meiner zeit spielt ^-^ und da dann auch noch in frankreich.
positive;positive;also der film war gut.
negative;negative;fazit: laues lã¼ftchen mit unsympathischer hauptfigur!
positive;positive;der sah dann doch ein wenig billig au â€“ hatte allerdings auch nur einen letztlich marginalen auftritt.
positive;positive;meiner meinung nach passt so gut wie alles in dem film.
positive;negative;wenn dann zum ende mã¤nner mit hã¼ten und verliebte pã¤rchen wild durch die wette rennen, mit dem ziel unbekannt ist emotional schon alle hoffnung verloren.
positive;negative;gosling, den ich super gerne sehe, bleibt blass und zeigt den ganzen film ã¼ber tatsã¤chlich fast nur ein und denselben gesichtsausdruck.
positive;positive;vergesst jason statham dieser film ãƒâ¼bertrifft jeden film von ihm!
positive;positive;fan von denzel washington kommen auf ihre kosten.
positive;positive;ich bin eigentlich mit keinen groãÿen erwartungen an den film gegangen, da ich von dem film zuvor noch nie etwas gehã¶rt hatte.
negative;negative;157 minuten high tech schrott im gamer format sind eine einzige beleidung fã¼r den abschluss dieser trilogie.
negative;positive;watcher oder player, riskante aufgaben geben oder risiken eingehen un geld gewinnen.
positive;positive;so liebevoll gemacht, und erst diese synchronisation,.... da fã¤llt einem erst im hã¶heren alter auf, welche bedeutung doch diese grandiose synchronisation trug... groãÿe klasse, meinen kindern werde ich diesen film aufjedenfall auch mal zeigen irgendwann , ha !
negative;positive;da einzigste wa mich geschockt hat war da ende weil e nicht wirklich vom buch handelte aber da muãÿ ja nicht schlecht sein... auf jeden fall lohnt e sich den film im kino anzuschauen !!
negative;negative;vorrangig liegt da einfach daran, das die produktion viel zu wenig zeit hatte.
negative;positive;sein sohn versteht es, die tochter nicht.
negative;positive;hatte ein paar lã¤ngen und christoph waltz wirkte zeitweise unfreiwillig komisch.
positive;positive;tja e war keine enttã¤uschung .es war ein meisterwerk wa david o russel da hingelegt hat .schade das er kein oscar gewonnen hat .die story ist richtig gut und die schauspilerrische leistung ist auch genialer kriminal film oder komã¶die wa da auch immer ist nur zu empfehlen.
negative;positive;"underworld, resident evil usw. haben ebenfalls keine ""gruselmomente""."
positive;positive;tim burton hat wieder zugeschlagen.
positive;negative;die handlung erreicht nicht mal annã¤hernd da niveau der ersten beiden teile.
negative;positive;und beide zusammen schaffen e glã¼cksmã¤ãÿig.
negative;positive;der humor wirkt stellenweise bemã¼ht und verkrampft und auch nicht mehr eindeutig komisch.
negative;positive;"fand e aber auch einbisschen komisch da die mutter justin am dauernd mit ""schã¤tzchen"" oder ""liebling"" ansprach, al ob er ihr sohn wã¤re."
negative;positive;ich habe zuvor kein buch von sherlock holmes gelesen und auch mich nicht weiter mit dieser person beschã¤ftigt.
positive;negative;sein â€šbã¶sewichtâ€˜ ist mehr al ãœberflã¼ssig, er hã¤tte eigentlich au dem film komplett herausgestrichen werden kã¶nnen.
negative;positive;"wa mir besonders an ""phantastische tierwesen und wo sie zu finden sind"" gefiel, war die erste hã¤lfte de films, al der zuschauer mit lauter ãœberraschungen ã¼berhã¤uft wurde."
positive;positive;nach dem lesen der meisten kritiken hier im forum habe ich festgestellt, das die meisten leute hier damit unzufrieden sind, das der film sich nicht ganz eng an buch hã¤lt.
negative;negative;1950 und 1954 errichtet.
negative;positive;"alles in allem ist ""der staatsfeind nr. 1"" ein wirklich fesselnder und packender hochspannungsthriller, der bi zur letzten minute spannend bleibt!"
negative;positive;dann geht er runter in seine alte abteilung.
negative;positive;"inside hollywood mit robert deniro oder auch sofia coppola neustes werk ""the bling ring"", hollywood versucht anscheinend einblicke geben zu wollen, in die welt der stars."
negative;positive;filmische kunst und schauspielerischer bestleistung.
positive;negative;der film bietet jede menge action und autoverfolgungsjagden, aber da alleine reicht fã¼r mich nicht aus.
positive;negative;man hat den film richtig schã¶n angesehen, das da budget gegenã¼ber dem vorgã¤nger drastisch gekã¼rzt wurde.
negative;positive;auch al polizeibeamter kann man dem film nur bestes lob widmen., ich hoffe, lisa wagner hat noch oft die mã¶glichkeit, so etwas abzuliefern.
positive;negative;die charaktere in diesem film kã¶nnten auch pornodarsteller ohne ehrenkodex sein siehe vergewaltigungsszene.
negative;positive;wa nur sehr wichtig ist ist die tiere in ihrem frieden auch leben zu lassen.
negative;positive;da alles basiert auf einer 16 bã¤nde umfassenden buchserie, e ist also ne menge material vorhanden um diese filmfigur in eine lange serie gehen zu lassen.
positive;positive;anna wã¤re gut beraten, auf ihren skeptischen onkel zu hã¶ren, der dazu rã¤t, die toten ihre toten begraben zu lassen.
negative;positive;einzig mã¶chte ich sagen, das e sehr drastische rã¼ckschlã¤ge gibt die schwer zu verdauen sind, wa dazu fã¼hrt, das e kein normales liebesdrama ist.
negative;positive;die optik ist auch wieder der hammer und die effekte erst recht.
negative;positive;wirklich sehr herzlich gemacht.
positive;positive;ich liebe christian bale.....er ist einfach nur toll.....und ich liebe christopher nole.....er macht einfach nur tolle filme.....die geschichte ist wie fãƒâ¼rs kino gemacht.....fantastico
positive;positive;wenn man mal patriot sein darf, dann doch wohl in diesen fã¤llen.
negative;positive;8/10
negative;negative;aber die ideen mã¶gen zu ã¼berzeugen.
negative;negative;viel mehr fã¤llt mir auch schon nicht mehr ein, ich musste mich aber auch zwingen, die 1,5 stunden durchzuziehen.
